0, 147
1, 24
2, 85
3, 94
4, 25
5, 79
6, 62
7, 166
8, 21
9, 46
10, 40
11, 6
12, 3
13, 1
14, 21
15, 116
16, 20
17, 69
18, 26
19, 36
20, 12
21, 24
22, 34
23, 7
24, 48
25, 1
26, 30
27, 71
28, 2
29, 36
30, 7
31, 16
32, 48
33, 65
34, 8
35, 26
36, 6
37, 4
38, 3
39, 19
40, 1
41, 49
42, 1
43, 2
44, 1
45, 5
46, 9
47, 7
48, 43
49, 33
50, 6
51, 39
52, 3
53, 10
54, 1
55, 23
56, 18
57, 24
58, 19
59, 8
60, 93
61, 27
62, 18
63, 51
64, 5
65, 30
66, 3
67, 6
68, 1
69, 6
70, 14
71, 38
72, 21
73, 12
74, 21
75, 14
76, 26
77, 5
78, 3
79, 22
80, 29
81, 50
82, 13
83, 13
84, 24
85, 12
86, 29
87, 7
88, 95
89, 21
90, 3
91, 16
92, 47
93, 12
94, 5
95, 81
96, 15
97, 52
98, 7
99, 15
100, 12
101, 34
102, 2
103, 1
104, 15
105, 2
106, 11
107, 4
108, 3
109, 16
110, 6
111, 10
112, 22
113, 7
114, 5
115, 46
116, 4
117, 29
118, 1
119, 10
120, 32
121, 15
122, 15
123, 1
124, 1
125, 10
126, 15
127, 6
128, 20
129, 60
130, 1
131, 24
132, 34
133, 2
134, 9
135, 1
136, 7
137, 4
138, 31
139, 15
140, 35
141, 5
142, 40
143, 16
144, 4
145, 19
146, 11
147, 11
148, 1
149, 27
150, 15
151, 3
152, 4
153, 22
154, 8
155, 10
156, 2
157, 7
158, 1
159, 21
160, 5
161, 1
162, 9
163, 5
164, 5
165, 14
166, 1
167, 17
168, 31
169, 16
170, 6
171, 26
172, 33
173, 8
174, 15
175, 12
176, 27
177, 15
178, 11
179, 7
180, 21
181, 22
182, 42
183, 1
184, 17
185, 7
186, 3
187, 4
188, 5
189, 14
190, 6
191, 2
192, 5
193, 14
194, 34
195, 8
196, 3
197, 1
198, 25
199, 66
200, 57
201, 10
202, 22
203, 54
204, 8
205, 3
206, 55
207, 1
208, 23
209, 8
210, 5
211, 3
212, 30
213, 1
214, 6
215, 10
216, 10
217, 8
218, 6
219, 49
220, 15
221, 4
222, 13
223, 1
224, 9
225, 6
226, 10
227, 2
228, 1
229, 19
230, 8
231, 17
232, 16
233, 1
234, 16
235, 22
236, 13
237, 5
238, 2
239, 3
240, 15
241, 53
242, 26
243, 19
244, 3
245, 27
246, 18
247, 3
248, 7
249, 11
250, 12
251, 4
252, 19
253, 16
254, 4
255, 3
256, 7
257, 9
258, 24
259, 6
260, 1
261, 7
262, 10
263, 3
264, 7
265, 7
266, 13
267, 24
268, 14
269, 1
270, 1
271, 4
272, 9
273, 1
274, 1
275, 8
276, 1
277, 4
278, 24
279, 35
280, 4
281, 14
282, 5
283, 7
284, 25
285, 13
286, 5
287, 2
288, 8
289, 5
290, 7
291, 5
292, 11
